,0.4,0.5,0.6,0.7,0.7999999999999999,0.8999999999999999
0.5,738.5152345147029,703.7027097274445,769.0449581249574,708.5249059467218,552.5961607925126,424.7470312462143
1.0,688.1289454951257,578.2248177158824,578.2896488555878,509.0899951171661,417.881092982466,153.43272170887946
1.5,594.9537217465707,482.0368645369232,541.7179544737432,390.8926100814202,225.03914386850835,199.0190338805368
2.0,328.389709227554,249.39814874905863,192.79623768037013,130.28223171371283,120.89323859566424,290.5577700890802
2.5,84.8833087491665,98.80221898140374,113.04364746453214,194.75936065333556,340.17274318363224,344.148974722009
3.0,191.73636356977775,254.80813777926903,302.1879197636009,378.9777200684518,390.4749908936519,378.21440184273655
3.5,333.2138151037301,346.3798120433723,379.0861728106608,375.1031806724093,391.93811848963793,415.6895513055077
